start;measure
0.238662132;1
2.489886621;2
4.850453515;3
7.216938776;4
9.641746032;5
11.815850340;6
14.150340136;7
16.395487528;8
18.538639456;9
20.781337868;10
23.090770975;11
25.354172336;12
27.529115646;13
29.782040816;14
31.949501134;15
34.355283447;16
36.512199546;17
38.866734694;18
41.150725624;19
43.398095238;20
45.666417234;21
48.042086168;22
50.495986395;23
53.007687075;24
55.447913832;25
57.922176871;26
60.291587302;27
62.600997732;28
64.778888889;29
67.105668934;30
69.544217687;31
71.958639456;32
74.071655329;33
76.228412698;34
78.620136054;35
80.933151927;36
83.405396825;37
85.604104308;38
87.849206349;39
90.198956916;40
92.348888889;41
94.646213152;42
96.904557823;43
99.140272109;44
101.345215420;45
103.613446712;46
105.912743764;47
108.348503401;48
110.676213152;49
112.939160998;50
115.191655329;51
117.411700680;52
119.693605442;53
121.962811791;54
124.373083900;55
126.778548753;56
129.218412698;57
131.610702948;58
133.914149660;59
136.185034014;60
138.389183673;61
140.561995465;62
142.814739229;63
145.099954649;64
147.245102041;65
149.408798186;66
151.614693878;67
153.838730159;68
156.258684807;69
158.348480726;70
160.555283447;71
162.798911565;72
164.967619048;73
167.190680272;74
169.347981859;75
171.532108844;76
173.738480726;77
175.934557823;78
178.117210884;79
180.522675737;80
182.682993197;81
185.053356009;82
187.291451247;83
189.561768707;84
191.868140590;85
194.223310658;86
196.579365079;87
199.002698413;88
201.564058957;89
203.952471655;90
206.296145125;91
208.631292517;92
210.857891156;93
213.216507937;94
215.560476190;95
217.923015873;96
220.237278912;97
222.533015873;98
224.863628118;99
227.227346939;100
229.721972789;101
232.016099773;102
234.709886621;103
237.399909297;104
239.741179138;105
242.218956916;106
244.554013605;107
246.985419501;108
249.254784580;109
251.751473923;110
254.177233560;111
256.638548753;112
259.065034014;113
261.547482993;114
264.025986395;115
266.517823129;116
268.842040816;117
271.719909297;118
274.464331066;119
277.002448980;120
279.510204082;121
282.054671202;122
284.498775510;123
286.948707483;124
289.597551020;125
292.176780045;126
294.620022676;127
297.134149660;128
299.665124717;129
302.424920635;130
305.783582766;131
308.347210884;132
310.773560091;133
313.181814059;134
315.656235828;135
318.142040816;136
322.060770975;137
324.905215420;137.500
